category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
Function,GO:0003690,Double-stranded DNA binding,23,1661,0.00046,0.0152,"NR3C1,RORA,KCNH2,EGFR,PPARG,PPARD,PRKDC,PGR,RORC,NR1I2,ESR2,NR3C2,SREBF2,TOP1,NR1I3,ABL1,AR,POLA1,PPARA,ESR1,NR1H4,NR1H3,NR1H2"
Function,GO:0004725,Protein tyrosine phosphatase activity,5,100,0.0006,0.0197,"CDC25B,CDC25A,PTPN2,PTPN1,PTPN11"
Function,GO:0005497,Androgen binding,2,4,0.00061,0.0199,"AR,SHBG"
Function,GO:0034056,Estrogen response element binding,2,4,0.00061,0.0199,"ESR2,ESR1"
Function,GO:0016740,Transferase activity,28,2268,0.00063,0.0203,"MAPK1,CSNK2A1,MAPK14,FLT3,MAPK3,KDR,POLB,CDK2,EGFR,UGT2B7,GLUL,PRKDC,MET,DYRK1A,PTGES,TOP1,ABL1,PIK3CD,POLA1,RPS6KA3,JAK2,MAPK8,CHEK1,FGFR1,PIK3CG,NTRK1,TYK2,JAK3"
Function,GO:0004175,Endopeptidase activity,10,437,0.00065,0.0207,"CTSD,ACE,F2,PLG,ADAM17,BACE1,CTSB,PLAU,F10,PREP"
Function,GO:0016702,"Oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",3,24,0.00069,0.0216,"PTGS1,PTGS2,ALOX5"
Function,GO:0070330,Aromatase activity,3,24,0.00069,0.0216,"CYP2C9,CYP2C19,CYP19A1"
Function,GO:0000287,Magnesium ion binding,7,223,0.00074,0.0231,"CDK2,GLUL,PDE2A,ABL1,RPS6KA3,TOP2A,EPHX2"
Function,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,18,1196,0.0008,0.0244,"NR3C1,RORA,PPARG,PPARD,PGR,RORC,NR1I2,ESR2,NR3C2,SREBF2,TOP1,NR1I3,AR,PPARA,ESR1,NR1H4,NR1H3,NR1H2"
Function,GO:0001664,G protein-coupled receptor binding,8,295,0.0008,0.0244,"ADRA2A,ACE,PDE4D,JAK2,DRD3,ADRA2C,TYK2,ADORA2A"
Function,GO:0001609,G protein-coupled adenosine receptor activity,2,5,0.00085,0.0257,"ADORA3,ADORA2A"
Function,GO:0004985,G protein-coupled opioid receptor activity,2,5,0.00085,0.0257,"SIGMAR1,OPRM1"
Function,GO:0005138,interleukin-6 receptor binding,2,5,0.00085,0.0257,"ADAM17,IL6"
Function,GO:0032934,Sterol binding,4,62,0.00088,0.0259,"RORA,NPC1L1,RORC,NR1H3"
Function,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",10,458,0.00093,0.0272,"NR3C1,PGR,NR1I2,NR1I3,AR,PPARA,ESR1,NR1H4,NR1H3,NR1H2"
Function,GO:0051019,Mitogen-activated protein kinase binding,3,27,0.00094,0.0274,"MAPK14,ACE,ABL1"
Function,GO:0016836,Hydro-lyase activity,4,64,0.00098,0.0285,"CA2,CA9,TBXAS1,CA1"
Function,GO:0097110,Scaffold protein binding,4,66,0.0011,0.0312,"KCNH2,CACNA1H,HSP90AA1,PDE4D"
Function,GO:0004064,Arylesterase activity,2,6,0.0011,0.032,"CA2,CA1"
Function,GO:0030911,TPR domain binding,2,6,0.0011,0.032,"PDE2A,HSP90AA1"
Function,GO:0031702,Type 1 angiotensin receptor binding,2,6,0.0011,0.032,"JAK2,TYK2"
Function,GO:0033218,Amide binding,9,391,0.0012,0.032,"BCHE,SRD5A1,PPARG,ACHE,BACE1,PTGES,HCRTR1,OPRM1,SRD5A2"
Function,GO:0047024,"5alpha-androstane-3beta,17beta-diol dehydrogenase activity",2,6,0.0011,0.032,"AKR1C3,AKR1C1"
Function,GO:0051525,NFAT protein binding,2,6,0.0011,0.032,"MAPK14,PPARA"
Function,GO:1990837,Sequence-specific double-stranded DNA binding,21,1564,0.0012,0.0333,"NR3C1,RORA,KCNH2,PPARG,PPARD,PGR,RORC,NR1I2,ESR2,NR3C2,SREBF2,TOP1,NR1I3,ABL1,AR,POLA1,PPARA,ESR1,NR1H4,NR1H3,NR1H2"
Function,GO:0046875,Ephrin receptor binding,3,31,0.0014,0.0368,"PTPN1,ABL1,PIK3CG"
Function,GO:0003916,DNA topoisomerase activity,2,7,0.0014,0.0389,"TOP1,TOP2A"
Function,GO:0004993,G protein-coupled serotonin receptor activity,3,32,0.0015,0.0389,"CHRM3,CHRM2,HTR2A"
Function,GO:0005021,Vascular endothelial growth factor receptor activity,2,7,0.0014,0.0389,"FLT3,KDR"
Function,GO:0008142,Oxysterol binding,2,7,0.0014,0.0389,"RORA,RORC"
Function,GO:0016907,G protein-coupled acetylcholine receptor activity,2,7,0.0014,0.0389,"CHRM3,CHRM2"
Function,GO:0019103,Pyrimidine nucleotide binding,2,7,0.0014,0.0389,"HSP90AA1,POLA1"
Function,GO:0035005,1-phosphatidylinositol-4-phosphate 3-kinase activity,2,7,0.0014,0.0389,"PIK3CD,PIK3CG"
Function,GO:0035240,Dopamine binding,2,7,0.0014,0.0389,"SLC6A3,DRD2"
Function,GO:0044877,Protein-containing complex binding,18,1261,0.0015,0.0389,"FLT3,SLC6A4,KDR,SLC6A3,EGFR,ADRA2A,ACHE,ADAM17,PTPN2,HSP90AA1,CTSB,DRD2,PTPN1,ABL1,PPARA,HTR2A,ADORA2A,PTPN11"
Function,GO:0046934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",2,7,0.0014,0.0389,"PIK3CD,PIK3CG"
Function,GO:0051379,Epinephrine binding,2,7,0.0014,0.0389,"ADRA2A,ADRA2C"
Function,GO:0019838,Growth factor binding,5,127,0.0017,0.042,"FLT3,KDR,EGFR,FGFR1,NTRK1"
Function,GO:0001758,Retinal dehydrogenase activity,2,8,0.0018,0.0449,"AKR1B10,AKR1C3"
Function,GO:0008022,Protein C-terminus binding,6,192,0.0018,0.0449,"PPARG,SREBF2,ABL1,JAK2,OPRM1,TOP2A"
Function,GO:0016209,Antioxidant activity,4,76,0.0018,0.0449,"FABP1,PTGES,PTGS1,PTGS2"
Function,GO:0030235,Nitric-oxide synthase regulator activity,2,8,0.0018,0.0449,"HSP90AA1,ESR1"
Function,GO:0047035,Testosterone dehydrogenase (NAD+) activity,2,8,0.0018,0.0449,"HSD17B1,AKR1C3"
Function,GO:0008236,Serine-type peptidase activity,6,194,0.0019,0.0467,"ACE,F2,PLG,PLAU,F10,PREP"
TISSUES,BTO:0000759,Liver,50,2125,1.17e-16,2.84e-13,"CYP51A1,MAPK1,ATP12A,MAPK14,NR3C1,CTSD,FABP4,CYP2C9,BCHE,EGFR,SIGMAR1,CA2,HMGCR,NPC1L1,ACE,FABP1,UGT2B7,GLUL,F2,PLG,ADAM17,PTPN2,PRKDC,MET,NOS2,HSP90AA1,NR1I2,SERPINA6,CTSB,TOP1,HSD11B1,NR1I3,CYP2C19,ABL1,AR,F10,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,PPARA,IL6,FGFR1,GC,EPHX2,NR1H3,PTPN11,CYP2D6,CES2"
TISSUES,BTO:0001489,Whole body,123,13099,2.28e-16,2.84e-13,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,ADORA3,FLT3,CDC25B,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,ACHE,CDC25A,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,GABBR1,PIK3CD,CA9,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,PDE7A,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,ESR1,TOP2A,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,PREP,NR1H2,CES2"
TISSUES,BTO:0001491,Viscus,77,5378,9.51e-15,7.69e-12,"CYP51A1,MAPK1,ATP12A,CYP27B1,MAPK14,NR3C1,CTSD,FABP4,CYP2C9,RORA,BCHE,SRD5A1,EGFR,SIGMAR1,CA2,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,CTSB,NR3C2,AKR1B10,SREBF2,TOP1,HSD11B1,NR1I3,CYP17A1,CYP2C19,ABL1,PLAU,TACR2,AR,F10,CA9,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,PPARA,PDE7A,IL6,CHEK1,FGFR1,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,NR1H4,SRD5A2,NR1H3,PTPN11,CYP2D6,CES2"
TISSUES,BTO:0000345,Digestive gland,55,2881,1.34e-14,8.13e-12,"CYP51A1,MAPK1,ATP12A,MAPK14,NR3C1,CTSD,FABP4,CYP2C9,BCHE,EGFR,SIGMAR1,CA2,HMGCR,NPC1L1,ACE,FABP1,UGT2B7,GLUL,F2,PLG,ADAM17,PTPN2,PRKDC,MET,BACE1,NOS2,HSP90AA1,NR1I2,SERPINA6,CTSB,AKR1B10,TOP1,HSD11B1,NR1I3,CYP2C19,ABL1,AR,F10,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,PPARA,IL6,FGFR1,PIK3CG,GC,EPHX2,CA1,GPBAR1,NR1H3,PTPN11,CYP2D6,CES2"
TISSUES,BTO:0000089,Blood,40,1824,3.71e-12,1.8e-09,"MAPK1,MAPK14,CTSD,FLT3,SLC6A4,KDR,SIGMAR1,ADRA2A,CA2,HMGCR,ACE,CYP11B1,ACHE,F2,ADAM17,PTPN2,RORC,HSP90AA1,PDE4D,CTSB,NR3C2,PDE3A,TOP1,PTGS1,PTGS2,ABL1,AR,PIK3CD,RPS6KA3,G6PD,IL6,TBXAS1,OPRM1,CA1,NTRK1,JAK3,HTR2A,PTPN11,PREP,NR1H2"
TISSUES,BTO:0000180,Cervical carcinoma cell,18,322,7.21e-12,2.91e-09,"MAPK1,MAPK14,CDC25B,MAPK3,CDK2,EGFR,PPARG,CDC25A,PRKDC,MET,HSP90AA1,TOP1,ABL1,CA9,MAPK8,CHEK1,TOP2A,ABCB1"
TISSUES,BTO:0000570,Hematopoietic system,49,2755,1.09e-11,3.79e-09,"MAPK1,MAPK14,CTSD,FLT3,SLC6A4,MAPK3,KDR,SIGMAR1,ADRA2A,CA2,HMGCR,ACE,CYP11B1,ACHE,CDC25A,F2,ADAM17,PPARD,PTPN2,RORC,HSP90AA1,PDE4D,CTSB,NR3C2,PDE3A,SREBF2,TOP1,PTGS1,PTGS2,PTPN1,ABL1,AR,PIK3CD,RPS6KA3,G6PD,PDE7A,IL6,TBXAS1,CHEK1,OPRM1,CA1,GPBAR1,NTRK1,JAK3,HTR2A,ADORA2A,PTPN11,PREP,NR1H2"
TISSUES,BTO:0001488,Endocrine gland,79,6403,1.41e-11,4.28e-09,"CYP51A1,MAPK1,STS,ATP12A,SLC6A2,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,BCHE,POLB,SRD5A1,EGFR,SIGMAR1,CA2,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,UGT2B7,GLUL,F2,PLG,ADAM17,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,PTGES,SERPINA6,ESR2,CTSB,AKR1B10,TOP1,HSD11B1,NR1I3,CYP17A1,CYP2C19,ABL1,AR,HSD17B3,F10,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,PPARA,PDE7A,IL6,CHEK1,FGFR1,ESR1,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,NR1H3,ADORA2A,PTPN11,CYP2D6,NR1H2,CES2"
TISSUES,BTO:0000522,Gland,83,7004,1.86e-11,4.7e-09,"CYP51A1,MAPK1,STS,ATP12A,SLC6A2,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,BCHE,POLB,SRD5A1,EGFR,SIGMAR1,CA2,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,UGT2B7,GLUL,F2,PLG,ADAM17,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,PTGES,SERPINA6,ESR2,CTSB,NR3C2,AKR1B10,TOP1,HSD11B1,NR1I3,CYP17A1,CYP2C19,ABL1,PLAU,AR,HSD17B3,F10,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,PPARA,PDE7A,IL6,CHEK1,FGFR1,ESR1,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,NR1H3,ADORA2A,PTPN11,CYP2D6,NR1H2,CES2"
TISSUES,BTO:0000583,Bone marrow cancer cell,20,442,1.74e-11,4.7e-09,"MAPK1,MAPK14,NR3C1,MAPK3,HMGCR,CDC25A,GLUL,ADAM17,PRKDC,PGR,HSP90AA1,TOP1,PTPN1,ABL1,PIK3CD,RPS6KA3,JAK2,CHEK1,TOP2A,PTPN11"
TISSUES,BTO:0000042,Animal,124,15148,2.65e-10,5.86e-08,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,ADORA3,FLT3,CDC25B,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,ACHE,CDC25A,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,GABBR1,PIK3CD,CA9,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,PDE7A,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,PREP,NR1H2,CES2"
TISSUES,BTO:0001271,Leukemia cell,26,1067,6.23e-09,1.16e-06,"MAPK1,MAPK14,NR3C1,CDC25B,KCNH2,MAPK3,CDK2,HMGCR,CDC25A,GLUL,ADAM17,PRKDC,PGR,HSP90AA1,DYRK1A,SREBF2,TOP1,PTPN1,ABL1,PIK3CD,RPS6KA3,JAK2,CHEK1,TOP2A,JAK3,PTPN11"
TISSUES,BTO:0003092,Urinary system,28,1249,8.66e-09,1.5e-06,"ATP12A,CYP27B1,NR3C1,CTSD,FABP4,CYP2C9,RORA,SRD5A1,SIGMAR1,CA2,ACE,FABP1,UGT2B7,PLG,HSD11B2,RORC,NOS2,HSP90AA1,CTSB,NR3C2,PLAU,AKR1C3,AKR1C2,PDE7A,GC,EPHX2,TYK2,SRD5A2"
TISSUES,BTO:0001244,Urinary tract,28,1258,1.01e-08,1.63e-06,"ATP12A,CYP27B1,NR3C1,CTSD,FABP4,CYP2C9,RORA,SRD5A1,SIGMAR1,CA2,ACE,FABP1,UGT2B7,PLG,HSD11B2,RORC,NOS2,HSP90AA1,CTSB,NR3C2,PLAU,AKR1C3,AKR1C2,PDE7A,GC,EPHX2,TYK2,SRD5A2"
TISSUES,BTO:0000449,Fetus,28,1318,2.69e-08,4.08e-06,"STS,HSD17B1,MAPK14,NR3C1,CTSD,RORA,SLC6A4,KDR,CDK2,EGFR,PPARG,ACE,PPARD,PRKDC,HSD11B2,HSP90AA1,PDE4D,CTSB,PTGS2,PTPN1,ABL1,CYP19A1,IL6,FGFR1,ESR1,NR1H3,PTPN11,NR1H2"
TISSUES,BTO:0000431,Excretory gland,28,1385,7.51e-08,1.07e-05,"ATP12A,CYP27B1,NR3C1,CTSD,CYP2C9,RORA,SIGMAR1,ACE,FABP1,UGT2B7,F2,PLG,HSD11B2,PGR,RORC,NOS2,HSP90AA1,PTGES,ESR2,CTSB,NR3C2,PLAU,PDE7A,ESR1,GC,EPHX2,TYK2,NR1H2"
TISSUES,BTO:0001078,Placenta,26,1244,1.28e-07,1.63e-05,"STS,HSD17B1,MAPK14,NR3C1,CTSD,RORA,SLC6A4,KDR,CDK2,EGFR,PPARG,ACE,PPARD,PRKDC,HSD11B2,HSP90AA1,PDE4D,CTSB,PTGS2,PTPN1,CYP19A1,FGFR1,ESR1,NR1H3,PTPN11,NR1H2"
TISSUES,BTO:0000744,Lymphocytic leukemia cell,15,419,1.38e-07,1.67e-05,"MAPK1,MAPK14,NR3C1,CDC25B,KCNH2,MAPK3,CDK2,PRKDC,HSP90AA1,ABL1,RPS6KA3,CHEK1,TOP2A,JAK3,PTPN11"
TISSUES,BTO:0001546,Chronic lymphocytic leukemia cell,11,222,3.4e-07,3.92e-05,"MAPK1,MAPK14,NR3C1,MAPK3,CDK2,PRKDC,HSP90AA1,ABL1,CHEK1,JAK3,PTPN11"
TISSUES,BTO:0003091,Urogenital system,74,7090,4.54e-07,5.01e-05,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,SLC6A4,KDR,POLB,CDK2,SRD5A1,EGFR,SIGMAR1,CA2,PPARG,ACE,FABP1,UGT2B7,GLUL,F2,PLG,PPARD,PTPN2,PRKDC,HSD11B2,PGR,RORC,NOS2,HSP90AA1,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,HSD11B1,PTGS2,CYP17A1,PTPN1,PLAU,AR,HSD17B3,F10,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,G6PD,CYP19A1,PDE7A,CHEK1,FGFR1,ESR1,TOP2A,GC,EPHX2,NTRK1,TYK2,SRD5A2,NR1H3,PTPN11,NR1H2,CES2"
TISSUES,BTO:0000416,Epithelium,18,697,7.97e-07,8.4e-05,"RORA,KDR,NPC1L1,ACE,PGR,NOS2,ESR2,PDE4D,PTGS2,AR,AKR1C3,AKR1C2,IL6,CHEK1,ESR1,EPHX2,GPBAR1,PTPN11"
TISSUES,BTO:0000737,Leukemia cell line,8,108,8.58e-07,8.67e-05,"FLT3,HSP90AA1,TOP1,PTGS2,ABL1,AR,JAK2,IL6"
TISSUES,BTO:0000671,Kidney,22,1039,1.12e-06,0.00011,"ATP12A,CYP27B1,NR3C1,CTSD,CYP2C9,RORA,SIGMAR1,ACE,FABP1,UGT2B7,PLG,HSD11B2,RORC,NOS2,HSP90AA1,CTSB,NR3C2,PLAU,PDE7A,GC,EPHX2,TYK2"
TISSUES,BTO:0000763,Lung,25,1395,3.68e-06,0.00033,"MAPK1,CSNK2A1,CTSD,SLC6A4,SLC6A3,ACE,GLUL,PRKDC,BACE1,NOS2,HSP90AA1,SERPINA6,CTSB,PTGS1,PTGS2,ABL1,PLAU,AKR1C3,AKR1C2,AKR1C1,G6PD,IL6,TBXAS1,FGFR1,EPHX2"
TISSUES,BTO:0001120,Epithelial cell line,9,179,3.7e-06,0.00033,"KDR,EGFR,MET,PGR,NR1I2,AR,FGFR1,ESR1,TOP2A"
TISSUES,BTO:0000284,Organism form,36,2542,4.18e-06,0.00035,"STS,HSD17B1,MAPK14,NR3C1,CTSD,RORA,SLC6A4,KDR,BCHE,CDK2,EGFR,PPARG,ACE,PPARD,PRKDC,HSD11B2,HSP90AA1,PDE4D,CTSB,PTGS2,PTPN1,ABL1,RPS6KA3,AKR1C2,G6PD,CYP19A1,IL6,CHEK1,FGFR1,ESR1,EPHX2,NR1H3,PTPN11,CYP2D6,NR1H2,CES2"
TISSUES,BTO:0000203,Respiratory system,28,1707,4.62e-06,0.00037,"MAPK1,CSNK2A1,ATP12A,CTSD,SLC6A4,SLC6A3,ACE,GLUL,PRKDC,BACE1,NOS2,HSP90AA1,SERPINA6,CTSB,TOP1,PTGS1,PTGS2,ABL1,PLAU,TACR2,AKR1C3,AKR1C2,AKR1C1,G6PD,IL6,TBXAS1,FGFR1,EPHX2"
TISSUES,BTO:0000131,Blood plasma,13,424,5.16e-06,0.0004,"MAPK1,MAPK14,CTSD,SLC6A4,ADRA2A,HSP90AA1,PDE4D,PDE3A,PTGS1,G6PD,IL6,TBXAS1,HTR2A"
TISSUES,BTO:0000132,Blood platelet,12,363,5.82e-06,0.00044,"MAPK1,MAPK14,CTSD,SLC6A4,ADRA2A,HSP90AA1,PDE4D,PDE3A,PTGS1,G6PD,TBXAS1,HTR2A"
TISSUES,BTO:0000562,Heart,17,738,7.35e-06,0.00054,"ADORA3,CYP2C9,RORA,KCNH2,KDR,PPARG,ACE,F2,PGR,CACNA1H,HSP90AA1,PDE4D,NR3C2,PDE3A,PTGS2,IL6,NR1H3"
TISSUES,BTO:0004702,Ventral striatum,3,4,9.03e-06,0.00064,"SLC6A3,DRD2,OPRM1"
TISSUES,BTO:0000634,Integument,31,2112,1.19e-05,0.00083,"ATP12A,NR3C1,CTSD,RORA,KDR,BCHE,POLB,PPARG,NPC1L1,ACE,PGR,NOS2,HSP90AA1,ESR2,PDE4D,CTSB,SREBF2,PTGS2,AR,AKR1C3,AKR1C2,AKR1C1,IL6,CHEK1,ESR1,EPHX2,GPBAR1,PTPN11,PREP,NR1H2,CES2"
TISSUES,BTO:0000297,Carcinoma cell line,8,161,1.42e-05,0.00095,"EGFR,MET,PGR,NR1I2,AR,FGFR1,ESR1,TOP2A"
TISSUES,BTO:0000426,Erythroleukemia cell,9,244,3.96e-05,0.0026,"MAPK1,MAPK14,MAPK3,HSP90AA1,PTPN1,ABL1,JAK2,CHEK1,PTPN11"
TISSUES,BTO:0000174,Embryonic structure,32,2369,4.33e-05,0.0027,"STS,HSD17B1,MAPK14,NR3C1,CTSD,RORA,SLC6A4,KDR,CDK2,EGFR,PPARG,ACE,PPARD,PRKDC,HSD11B2,HSP90AA1,PDE4D,CTSB,PTGS2,PTPN1,ABL1,RPS6KA3,CYP19A1,IL6,CHEK1,FGFR1,ESR1,EPHX2,NR1H3,PTPN11,NR1H2,CES2"
TISSUES,BTO:0001862,Nucleus accumbens,3,8,4.18e-05,0.0027,"SLC6A3,DRD2,OPRM1"
TISSUES,BTO:0001415,Umbilical cord,6,95,4.94e-05,0.003,"RORA,KDR,ACE,PDE4D,FGFR1,PTPN11"
TISSUES,BTO:0000815,MDA-MB-231 cell,3,9,5.54e-05,0.0033,"EGFR,PGR,ESR1"
TISSUES,BTO:0000093,MCF-7 cell,3,11,9.08e-05,0.0052,"EGFR,PGR,ESR1"
TISSUES,BTO:0002045,Capillary,3,12,0.00011,0.0064,"KDR,ACE,IL6"
TISSUES,BTO:0000553,Peripheral blood,8,227,0.00015,0.008,"MAPK14,KDR,CYP11B1,HSP90AA1,TOP1,PTGS2,TBXAS1,NTRK1"
TISSUES,BTO:0000421,Connective tissue,17,954,0.00017,0.0092,"NR3C1,FABP4,PPARG,ACE,ADAM17,PGR,NOS2,HSP90AA1,CTSB,PTGS1,PTGS2,CYP17A1,ABL1,AR,HSD17B3,AKR1C1,IL6"
TISSUES,BTO:0000648,Intestine,21,1349,0.00018,0.0095,"CTSD,CA2,NPC1L1,FABP1,GLUL,RORC,HSP90AA1,CTSB,AKR1B10,NR1I3,TACR2,CA9,AKR1C3,AKR1C2,AKR1C1,IL6,CHEK1,FGFR1,NTRK1,NR1H4,CES2"
TISSUES,BTO:0000088,Cardiovascular system,18,1057,0.00019,0.0097,"ADORA3,FABP4,CYP2C9,RORA,KCNH2,KDR,PPARG,ACE,F2,PGR,CACNA1H,HSP90AA1,PDE4D,NR3C2,PDE3A,PTGS2,IL6,NR1H3"
TISSUES,BTO:0000473,Fetal membrane,3,15,0.0002,0.01,"KDR,ABL1,IL6"
TISSUES,BTO:0003099,Internal female genital organ,34,2804,0.0002,0.01,"CSNK2A1,STS,HSD17B1,MAPK14,NR3C1,CTSD,RORA,SLC6A4,KDR,CDK2,EGFR,CA2,PPARG,ACE,PPARD,PRKDC,HSD11B2,PGR,HSP90AA1,ESR2,PDE4D,CTSB,PTGS2,CYP17A1,PTPN1,F10,RPS6KA3,CYP19A1,FGFR1,ESR1,NTRK1,NR1H3,PTPN11,NR1H2"
TISSUES,BTO:0000067,Kidney cell line,4,44,0.00026,0.0115,"CYP27B1,KCNH2,AR,ABCB1"
TISSUES,BTO:0000741,Lymphocytic leukemia cell line,4,43,0.00024,0.0115,"HSP90AA1,TOP1,ABL1,AR"
TISSUES,BTO:0000901,Myocardium,3,16,0.00024,0.0115,"ACE,PDE3A,IL6"
TISSUES,BTO:0001509,Umbilical vein,5,82,0.00025,0.0115,"RORA,KDR,ACE,PDE4D,FGFR1"
TISSUES,BTO:0002991,Glandular epithelium,2,2,0.00025,0.0115,"PGR,ESR1"
TISSUES,BTO:0003433,Endometrial gland,2,2,0.00025,0.0115,"PGR,ESR1"
TISSUES,BTO:0004086,Mammary gland tumor cell line,3,17,0.00028,0.0115,"EGFR,PGR,ESR1"
TISSUES,BTO:0005543,Uterine epithelial cell,2,2,0.00025,0.0115,"PGR,ESR1"
TISSUES,BTO:0005591,Mesolimbic dopaminergic system,2,2,0.00025,0.0115,"SLC6A3,DRD2"
TISSUES,BTO:0000749,Sporozoan form,3,18,0.00032,0.0128,"AKR1C2,G6PD,CYP2D6"
TISSUES,BTO:0000604,Adenocarcinoma cell,12,568,0.00038,0.0144,"MAPK14,MAPK3,SIGMAR1,MET,PGR,NOS2,HSP90AA1,NR1I2,CTSB,CA9,ESR1,CES2"
TISSUES,BTO:0000817,Mammary gland,7,198,0.00038,0.0144,"CYP2C9,F2,PGR,PTGES,ESR2,ESR1,NR1H2"
TISSUES,BTO:0004850,Bone marrow cell,7,198,0.00038,0.0144,"CTSD,FLT3,BCHE,ACE,F2,SERPINA6,FGFR1"
TISSUES,BTO:0002548,BT-549 cell,2,3,0.00041,0.015,"PGR,ESR1"
TISSUES,BTO:0002588,NCI-H295R cell,2,3,0.00041,0.015,"CYP11B1,CYP17A1"
TISSUES,BTO:0003136,ZR-75-1 cell,2,3,0.00041,0.015,"PGR,ESR1"
TISSUES,BTO:0004043,Intramuscular adipose tissue,2,3,0.00041,0.015,"FABP4,PPARG"
TISSUES,BTO:0003505,T-cell chronic lymphocytic leukemia cell,3,21,0.00048,0.0165,"MAPK3,ABL1,JAK3"
